feature_call,num_cells,pct_cells,median_umis,stddev_umis
2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON|4.CRko.sg_hTNFRSF1A_2.TNFRSF1A,1.0,0.020374898125509373,299.0,0.0
2.CRko.sg_hALAS1-INTRON_5.ALAS1-INTRON,28.0,0.5704971475142625,422.5,513.8098927301293
2.CRko.sg_hALAS1-INTRON_5.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,392.0,0.0
2.CRko.sg_hALAS1-INTRON_5.ALAS1-INTRON|2.CRko.sg_hALAS1-INTRON_8.ALAS1-INTRON,2.0,0.040749796251018745,148.5,28.5
2.CRko.sg_hALAS1-INTRON_5.ALAS1-INTRON|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,817.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON,23.0,0.46862265688671556,544.0,575.5346852389033
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,579.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0489.Neg_Control_Human,1.0,0.020374898125509373,1064.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0489.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,3.0,0.061124694376528114,572.0,115.33815018843023
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,1233.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human,1.0,0.020374898125509373,1836.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0494.Neg_Control_Human,1.0,0.020374898125509373,1140.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,868.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human,1.0,0.020374898125509373,1656.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|2.CRko.sg_hCHAT-INTRON_2.CHAT-INTRON,1.0,0.020374898125509373,1361.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|2.CRko.sg_hDMD-INTRON_3.DMD-INTRON,1.0,0.020374898125509373,1775.0,0.0
2.CRko.sg_hALAS1-INTRON_6.ALAS1-INTRON|4.CRko.sg_hTNFRSF1A_7.TNFRSF1A,1.0,0.020374898125509373,577.0,0.0
2.CRko.sg_hALAS1-INTRON_7.ALAS1-INTRON,17.0,0.3463732681336593,439.0,354.2153275479425
